disease,allowed_foods,restricted_foods,max_calories,max_sodium,max_sugar,max_carbs,max_gi
Dengue Recovery,Papaya Leaf Extract|Coconut Water|Kiwi|Pomegranate|Porridge,Oily Food|Red Meat|Spicy Masalas|Caffeine,600,600,20,90,60
Typhoid Recovery,Honey|Boiled Rice|White Bread|Bananas|Moong Dal Soup,High Fiber|Raw Salads|Fried Snacks|Butter|Milk,550,500,25,110,70
Lactose Intolerance (Indian),Soy Milk|Coconut Milk|Tofu|Hard Cheese (Aged)|Poha,Paneer|Fresh Milk|Kheer|Ice Cream|Malai,650,700,20,100,65
Rheumatoid Arthritis (RA),Walnuts|Turmeric|Fatty Fish|Chia Seeds|Garlic,Sugar|Refined Oil|Red Meat|Eggplant (Brinjal)|Dairy,600,600,15,70,55
Night Blindness (Vit A),Carrots|Spinach|Papaya|Sweet Potato|Milk,Processed Snacks|Soda,700,700,25,110,65
Liver Cirrhosis (Mild),Egg Whites|Paneer (Low Fat)|Rice|Tinda|Lauki,Salt|Alcohol|Raw Fish|Chillies|Mutton,650,300,20,100,65
Post-Pregnancy (Lactation),Oats|Methi Laddoo|Dalia|Milk|Garlic|Gond,Spicy Food|Caffeine|Raw Papaya|Gas-forming Veggies,850,800,30,120,60
Gestational Diabetes,Ragi|Sprouts|Paneer|Whole Wheat|Roasted Chana,Sugar|Mango|White Rice|Sweets|Fruit Juice,500,750,5,50,45
Asthma (Indian Context),Tulsi|Honey|Ginger|Warm Soup|Seeds,Cold Curd|Ice Cream|Cold Drinks|Banana|Processed Salt,700,600,20,90,60
Hyperthyroidism,Cruciferous Veggies (Cooked)|Berries|Legumes|Potatoes,Iodized Salt|Seafood|Seaweed|Caffeine,700,700,25,110,65
Alzheimer's (Geriatric),Leafy Greens|Berries|Nuts|Turmeric|Coconut Oil,Saturated Fats|Butter|Cheese|Sugary Snacks,600,600,15,75,55
Chronic Bronchitis,Garlic|Turmeric|Warm Water|Chicken Soup|Veggies,Dairy|Excess Salt|Fried Foods|Cold Yogurt,750,600,20,80,60
Acne/Skin Health (Indian),Karela|Neem Tea|Lemon Water|Cucumber|Curd,Chocolate|White Sugar|Fried Samosas|Full-fat Milk,500,800,5,50,50
Psoriasis (Anti-Inflammatory),Cold-water Fish|Pumpkin Seeds|Carrots|Spinach,Red Meat|Alcohol|Nightshades (Tomato/Potato)|Dairy,650,700,20,80,55
Bronchial Asthma,Warm Fluids|Flaxseeds|Berries|Ginger|Garlic,Preservatives|Salt|Cold Foods|Dried Fruits,700,700,25,90,65
Binge Eating Disorder (Recovery),High Fiber Dalia|Moong Dal|Apples|Buttermilk,Bulk Snacks|Biscuits|Sweets|White Flour,550,700,15,70,50
Cushing's Syndrome,Spinach|Greek Yogurt|Fish|Almonds|Oats,Table Salt|Sugar|White Bread|Canned Goods,600,400,10,60,50
Eczema (Indian Diet),Fatty Fish|Probiotic Curd|Turmeric|Aloe Vera Juice,Dairy|Soy|Gluten|Sugar|Egg Yolks,650,800,20,90,60
Gallstones (Prevention),Lentils|Brown Rice|Citrus Fruits|High Fiber,Heavy Cream|Butter|Mutton|Deep Fried Food,550,700,15,75,60
Hypocalcemia (Vit D/Ca),Ragi|Paneer|Milk|Almonds|Broccoli,High Phytic Acid Grains|Excessive Fiber,750,700,20,90,65
Hyperkalemia (Renal),White Rice|Lauki|Cauliflower|Pears|Guava (No seeds),Banana|Spinach|Potato|Coconut Water|Oranges,600,500,20,90,65
Hypovolemia (Dehydration),ORS|Coconut Water|Salted Buttermilk|Rice Kanji,Caffeine|Plain Water (Excess)|Diuretics,800,2500,25,110,75
Stomatitis (Mouth Ulcers),Curd Rice|Mashed Banana|Cold Milk|Coconut Water,Chillies|Hot Tea|Citrus Fruits|Crunchy Snacks,600,500,20,100,70
Wilson's Disease (Low Copper),White Rice|Chicken|Eggs|Vegetables,Chocolate|Mushrooms|Shellfish|Nuts|Organ Meat,700,800,25,110,65
Alpha-gal Syndrome (Meat Allergy),Chicken|Fish|Pulses|Legumes|Dairy,Beef|Pork|Lamb|Gelatin,700,800,25,110,65
Histamine Intolerance,Fresh Chicken|Rice|Fresh Veggies|Apples,Aged Cheese|Fermented Foods|Vinegar|Spinach|Tomatoes,650,600,20,80,55
Fibromyalgia,Nuts|Berries|Brown Rice|Lean Protein|Ginger,MSG|Aspartame|Sugar|Nightshades,650,800,15,75,55
Lymphedema,Water|Ginger|Garlic|Leafy Greens|Fish,High Salt|Pickles|Processed Meat|Alcohol,600,400,15,70,55
Gastroparesis (Slow Digestion),Pureed Carrots|Yogurt|White Rice|Boiled Eggs,High Fiber Skins|Seeds|Raw Veggies|Fatty Meat,500,600,15,90,75
Cystic Fibrosis (Indian Adult),Whole Milk|Paneer|Nuts|Butter|Parathas,Diet Sodas|Low-calorie Snacks|Fast Food,1200,2000,40,150,75
Bulimia Recovery,Oats|Yogurt|Complex Carbs|Khichdi,Caffeine|Trigger Foods|Diet Pills,800,800,30,110,60
Lupus (SLE),Fatty Fish|Olive Oil|Berries|Sprouts|Vegetables,Alfalfa Sprouts|Garlic|Refined Carbs|Red Meat,650,600,20,80,55
Hypercalcemia,Lentils|Oats|Fish|Vegetables,Dairy Products|Fortified Foods|Calcium Supplements,600,800,20,90,65
Sjogren's Syndrome (Dry Mouth),Soups|Yogurt|Soft Fruit|Sauces|Gravy,Dry Toast|Spicy Food|Crunchy Snacks|Chillies,700,800,20,100,60
Adrenal Fatigue (Functional),Sea Salt|Nuts|Avocado|Lean Meat|Millets,Caffeine|Sugar|White Flour|Alcohol,700,1500,15,80,50
Epilepsy (Keto Diet),Avocado|Eggs|Butter|Fish|Heavy Cream,Sugar|Roti|Rice|Fruits|Potatoes,850,800,0,10,20
Ascites (Severe Water Retention),Fresh Veggies|Lean Fish|Oats|Dalia,Canned Soup|Table Salt|Frozen Meals|Pickles|Papad,600,200,20,90,65
Hypoproteinemia,Chicken Breast|Greek Yogurt|Soya|Egg Whites|Paneer,Sweets|Excessive Water|Empty Calories,850,800,20,80,60
Hyperhomocysteinemia,Leafy Greens|Beans|Poultry|Whole Grains,Red Meat|Alcohol|High Methionine Foods,700,800,20,100,60
Lipedema (Anti-Inflammatory),Veggies|Fish|Water|Seeds,Dairy|Gluten|Salt|Sugar,600,500,15,60,55
Short Stature (Pediatric Growth),Whole Milk|Eggs|Chicken|Peanut Butter|Ragi,Soda|Candy|Low-calorie snacks,900,1000,30,120,70
Cushing’s Disease,Turkey|Egg Whites|Asparagus|Berries,Sodium|Canned Soup|Pickles|White Sugar,600,400,10,60,50
Raynaud’s Syndrome,Ginger|Garlic|Fish|Citrus|Dark Chocolate,Caffeine|Alcohol|Cold Foods,700,800,20,100,60
Post-Gallbladder Removal,Rice|Toast|Skinless Chicken|Steamed Veggies,Fried Food|Spicy Gravy|Large Fatty Meals,550,700,15,85,65
Hypertriglyceridemia,Fish|Flaxseeds|Walnuts|Legumes|Methi,Alcohol|Sugar|Fructose Syrup|White Flour,600,700,0,50,45
Scleroderma,Turmeric|Ginger|Fish|Lean Meat|Rice,Refined Sugar|Processed Meat|Hard Skins,650,700,20,80,55
Kawasaki Disease (Pediatric),Soft Foods|Water|Fruit Juice (Diluted)|Rice,Salty Snacks|Hard Candy,700,600,30,100,65
Porphyria,Potatoes|Pasta|Rice|Sweet Fruits,Fasting|Alcohol|Low-carb Diets,800,800,40,150,75
Polymyalgia Rheumatica,Fatty Fish|Berries|Olive Oil|Spinach,Sugar|Fried Food|Red Meat|Processed Snacks,650,600,15,70,50
Hypovolemia,Broth|Sports Drinks|Water|Salted Nuts,Diuretics|Caffeine,800,2500,20,100,70
Obstructive Jaundice,Oatmeal|Rice|Toast|Skim Milk,Fried Food|Fatty Meat|Oils|Cream,600,700,20,100,65
Acanthosis Nigricans (Insulin Res.),Leafy Greens|Fish|Berries|Beans,Sugar|White Bread|Fruit Juice|White Pasta,550,800,5,50,50
Uremia (Renal Failure),White Bread|Rice|Apples|Green Beans,Red Meat|Spinach|Bananas|Potatoes|Salt,600,400,20,100,70
Leaky Gut Syndrome,Bone Broth|Probiotics|Steamed Veggies,Sugar|Gluten|Dairy|Processed Food,600,700,15,70,50
Biliary Atresia (Pediatric),MCT Oil|Lean Meats|Fruit|Purees,High Fat|Raw Seafood|High Salt,600,500,20,80,65
Idiopathic Intracranial Hypertension,Vegetables|Lean Protein|Water,Vitamin A Overload (Liver)|Salt|Tyramine,600,500,15,70,55
Hyperoxaluria (Type 1),Rice|Meat|Dairy|Cauliflower,Spinach|Rhubarb|Beets|Nuts|Tea,700,800,25,110,65
Chylothorax (Low Fat),Skim Milk|Egg Whites|Chicken|Fruit,Butter|Oil|Cream|Nuts,600,700,15,100,65
Myasthenia Gravis (Easy Chew),Mashed Potatoes|Minced Meat|Smoothies|Avocado,Tough Steaks|Dry Bread|Hard Raw Carrots,750,800,25,110,70
Sickle Cell Anemia,Water|Leafy Greens|Beans|Whole Grains,Alcohol|High Sodium|Dehydrating Foods,800,800,30,120,65
Amyloidosis,Lean Protein|Veggies|Fruit|Rice,Salt|Red Meat|Excess Fluid,650,500,20,80,60
Hypophosphatemia,Milk|Cheese|Nuts|Meat|Eggs,Alcohol|Refined Sugar,750,800,25,100,65
Hypermagnesemia,Chicken|Rice|White Bread|Lettuce,Pumpkin Seeds|Almonds|Spinach|Laxatives,700,800,25,110,65
Post-Sepsis Recovery,High Protein|Smoothies|Cooked Eggs|Rice,Raw Seafood|Unwashed Fruit|Alcohol,1000,1000,30,130,65
Pellagra (Niacin Deficiency),Turkey|Peanuts|Brown Rice|Mushrooms,Maize-only diet,750,800,20,110,65
Whipple Procedure Recovery,Mashed Potatoes|Scrambled Eggs|Fish|Smoothies,Large Meals|Raw Veggies|High Fat|Seeds,600,700,15,90,70
Rosacea (Indian Context),Cucumber|Oats|Salmon|Turkey|Coconut Water,Spicy Food|Hot Tea|Alcohol|Caffeine,650,800,20,90,60
Hyperuricosuria,Dairy|Vegetables|Eggs|Cherries,Red Meat|Gravy|Anchovies|Liver,700,600,20,100,60
Homocystinuria,Low-protein Grains|Fruits|Vegetables,Meat|Fish|Eggs|Dairy|Beans,650,800,20,120,70
Maple Syrup Urine Disease (MSUD),Fruit|Low-protein Grains|Special Amino Mix,Meat|Eggs|Dairy|Nuts|Legumes,700,800,25,130,75
Tyrosinemia,Fruit|Vegetables|Low-protein Grains,High Protein|Meat|Cheese|Eggs,700,800,25,120,75
SIBO (Hydrogen),Beef|Fish|Carrots|White Rice|Eggs,Beans|Onions|Garlic|Fructose|Bread,650,800,10,60,55
Oral Thrush (Candidiasis),Unsweetened Yogurt|Garlic|Lean Meat|Leafy Greens,Sugar|Yeast|Honey|Sweet Fruit|White Flour,600,800,0,45,40
Gingivitis,Strawberries|Vitamin C|Yogurt|Green Tea,Sticky Candy|Soda|Sugar|White Bread,650,800,10,70,60
Gastritis (Acute),Boiled Chicken|Applesauce|Rice|Toast|Bananas,Coffee|Spices|Alcohol|Tomato Sauce|Fried Food,550,600,15,80,65
Gastritis (Chronic),Oatmeal|Fish|Cooked Veggies|Ginger|Melon,Chili|Pepper|Caffeine|Citrus|Raw Onions,600,700,15,90,60
Barrett’s Esophagus,Oatmeal|Melon|Ginger|Boiled Chicken|Rice,Fried Food|Citrus|Caffeine|Chocolate|Alcohol,600,700,15,80,60
GERD (Pediatric),Pureed Apples|Rice Cereal|Chicken|Bananas,Tomato|Chocolate|Spicy|Peppermint|Fried,500,500,20,85,65
Hyperlipidemia (Geriatric),Oats|Apples|Beans|Fish|Olive Oil,Lard|Fatty Beef|Butter|Trans Fats,600,600,15,75,60
Diverticulosis (Indian),Lentils|Pears|Whole Wheat|Broccoli|Guava,White Rice|Refined Pasta|Low-fiber Meat,700,800,20,110,60
Diverticulitis (Flare),Broth|White Rice|Gelatin|Apple Juice|Toast,Seeds|Nuts|Fiber|Raw Fruit|Corn,500,1000,25,120,80
Crohn’s (Flare),Fish|White Rice|Cooked Carrots|Mashed Potatoes,Raw Broccoli|Seeds|Popcorn|Spicy|Dairy,600,700,15,100,75
Crohn’s (Remission),Lean Protein|Avocado|Peeled Fruit|Well-cooked Veggies,Tough Fiber|Skins|Seeds|Large Portions,700,800,20,110,65
Ulcerative Colitis (Flare),Skinless Chicken|Eggs|White Rice|Applesauce,High Fiber|Dried Fruit|Nuts|Dairy|Alcohol,550,800,15,90,75
IBS-D (Diarrhea),Rice|Oats|Bananas|Lean Meat|Carrots,Caffeine|Alcohol|Sugar-free Gum|Fried Food,600,900,15,90,60
IBS-C (Constipation),Chia Seeds|Flax|Oats|Pears|Prunes,Cheese|White Rice|Red Meat|Processed Foods,700,800,30,120,65
Non-Celiac Gluten Sensitivity,Buckwheat|Rice|Fish|Eggs|Fruit,Wheat Bread|Pasta|Couscous|Sooji,700,800,25,110,70
Gout (Acute Flare),Dairy|Cherries|Water|Tofu|Complex Carbs,Red Meat|Shellfish|Alcohol|High-Fructose Syrup,650,800,15,100,55
Rheumatoid Arthritis (Geriatric),Fatty Fish|Walnuts|Ginger|Turmeric|Blueberries,Sugar|Fried Food|MSG|Processed Meat|Red Meat,650,700,15,70,55
Osteoporosis (Geriatric),Yogurt|Kale|Sardines|Almonds|Milk,Excessive Salt|Caffeine|Soda|Alcohol,700,600,25,90,65
Anemia (B12 Def.),Beef|Eggs|Milk|Salmon|Clams,Alcohol (excessive),750,800,20,100,60
Anemia (Folate Def.),Asparagus|Spinach|Beans|Citrus|Liver,Alcohol|Overcooked Vegetables,750,800,30,110,65
Hyponatremia (Indian),Salted Broth|Pretzels|Eggs|Chicken|Papad,Plain Water (Excessive)|Plain Rice,850,3000,20,110,70
Hypomagnesemia,Spinach|Almonds|Black Beans|Avocado|Dark Chocolate,Alcohol|Excessive Sugar,700,800,20,110,60
Parkinson’s Disease,Whole Grains|Fiber|Berries|Beans|Fish,High Protein (at Night)|Dairy|Heavy Fats,700,700,20,90,60
ALS (High Calorie),Smoothies|Avocado|Yogurt|Pasta|Eggs,Thin Liquids|Dry Food,1000,1000,40,140,70
Meniere’s Disease,Veggies|Fruits|Unsalted Grains|Chicken,Table Salt|Caffeine|Alcohol|MSG,650,400,20,80,60
Post-Cholecystectomy,Rice|Toast|Skinless Chicken|Mashed Potatoes,Greasy Food|Fried|Spicy Sauces,550,700,15,85,65
Hemorrhoids (High Fiber),Oats|Prunes|Water|Beans|Papaya,Cheese|Processed Meat|Spicy Food|White Bread,700,800,30,120,65
Benign Prostatic Hyperplasia,Tomatoes|Soy|Berries|Nuts|Fish,Red Meat|Dairy|Salt|Alcohol,650,700,20,90,60
Malaria Recovery,Coconut Water|Orange Juice|Moong Dal Khichdi|Eggs|Apples,High Fiber|Fried Pakoras|Spicy Masalas|Caffeine|Butter,650,600,25,100,65
Chikungunya (Joint Pain),Turmeric Milk|Fatty Fish|Walnuts|Ginger|Pomegranate,Sugar|Refined Oil|Red Meat|Processed Snacks|Alcohol,600,700,15,80,55
Post-C-Section Recovery,Dalia|Lauki|Ghee (Moderate)|Carrots|Buttermilk,Spicy Foods|Soda|Coffee|Raw Salads|Gas-forming Veggies,750,800,20,110,60
Urinary Tract Infection (UTI),Cranberry Juice|Water|Curd|Cucumber|Barley Water,Spices|Alcohol|Caffeine|Sugar|Artificial Sweeteners,600,500,10,70,55
Hypochlorhydria (Low Acid),Ginger|Fermented Veggies|Lemon Water|Chicken|Eggs,Cold Water with Meals|Excessive Carbs|Processed Food,650,800,15,80,60
Insomnia (Dietary Support),Warm Milk|Almonds|Bananas|Oats|Chamomile Tea,Caffeine|Alcohol|Aged Cheese|Spicy Food|Heavy Meals,500,600,10,60,50
Varicose Veins,Citrus Fruits|Berries|Buckwheat|Flaxseeds|Fiber,Salt|Fried Foods|Refined Flour|Red Meat,650,400,20,80,60
Night Sweats (Menopausal),Soy|Tofu|Flax|Salmon|Cucumber,Spicy Curry|Alcohol|Caffeine|Hot Soup|Sugar,600,600,15,70,55
Goitre (Iodine Deficiency),Iodized Salt|Fish|Eggs|Dairy|Seafood,Raw Cabbage|Raw Kale|Soy|Peanuts|Turnips,700,800,20,90,65
Xerophthalmia (Vit A Def.),Carrots|Spinach|Liver|Sweet Potato|Mango,Processed Snacks|Soda,750,700,30,120,65
Sarcopenia (Muscle Loss),Whey Protein|Paneer|Chicken|Eggs|Soy,Empty Calories|Fasting|Sugary Drinks,1000,800,15,80,55
Hyperoxaluria (Renal Stones),Rice|White Bread|Meat|Cauliflower|Pears,Spinach|Beets|Chocolate|Nuts|Strong Tea,700,800,20,110,65
Amoebic Dysentery,Rice Water|Bananas|Boiled Potatoes|Curd|Toast,Milk|Spicy Food|Fibers|Raw Fruits|Sweets,500,900,15,100,75
Cerebral Palsy (Easy Swallow),Pureed Fruit|Yogurt|Mashed Khichdi|Smoothies,Hard Nuts|Dry Bread|Sticky Foods|Tough Meat,800,700,25,110,70
Dermatitis (Allergic),Cucumber|Aloe Vera|Green Tea|Fish|Turmeric,Eggs|Dairy|Gluten|Shellfish|Peanuts,600,800,15,80,60
Tinnitus (Ear Health),Spinach|Zinc-rich Seeds|Bananas|Garlic,Salt|Caffeine|Alcohol|Aspirin-rich Foods,650,300,20,90,60
Laryngitis (Sore Throat),Warm Honey Water|Ginger|Warm Soup|Mashed Veggies,Spices|Citrus|Crunchy Snacks|Cold Drinks,600,600,25,90,65
Hypoproteinemia (Edema),Egg Whites|Lean Beef|Soya|Lentils|Buttermilk,Excessive Water|High Sugar|Empty Carbs,900,600,15,70,55
Secondary Hyperparathyroidism,Tofu|Fortified Milk|Egg Whites|Salmon,High Phosphorus Foods|Dark Cola|Red Meat,700,700,20,90,65
Post-Stent Heart Diet,Oats|Walnuts|Spinach|Garlic|Fish,Ghee|Butter|Table Salt|Fried Food|Pickles,600,400,10,70,55
Keratomalacia,Cod Liver Oil|Papaya|Carrots|Spinach|Milk,Junk Food|Soda,750,800,25,110,65
Beriberi (Wet),Unpolished Rice|Pork|Beans|Sunflower Seeds,Alcohol|Polished White Rice|Tea,750,800,20,120,60
Angular Stomatitis (B2 Def.),Milk|Eggs|Green Leafy Veggies|Lentils,Alcohol|Sugar-heavy Snacks,700,700,20,90,60
Osteomalacia (Soft Bones),Fatty Fish|Egg Yolks|Fortified Milk|Paneer,High Phytate Grains|Soda,750,700,25,110,65
Heat Stroke Recovery,Buttermilk|Coconut Water|Watermelon|Barley Water,Caffeine|Alcohol|Spicy Food|High Protein,500,1200,30,120,70
Chronic Venous Insufficiency,Berries|Citrus|Buckwheat|Garlic|Ginger,Salt|Processed Meat|Fried Foods|Refined Carbs,650,500,20,80,60
Idiopathic Constipation,Isabgol|Flaxseeds|Papaya|Warm Water|Oats,Cheese|White Rice|Red Meat|Processed Foods,750,800,25,120,65
Hyperhomocysteinemia,Spinach|Lentils|Eggs|Chicken|Bananas,Red Meat|Alcohol|High Methionine Foods,700,700,20,90,60
Achlorhydria,Fermented Curd|Ginger|Lemon|Warm Broth,Big Meals|Raw Veggies|High Fat|Sweets,600,700,15,80,60
Oral Subcalous Fibrosis,Soft Mashed Food|Milk|Cold Yogurt|Turmeric,Chillies|Betel Nut|Hot Tea|Alcohol|Spices,700,600,20,100,70
Dumping Syndrome,Protein First|Small Portions|Fats|Fiber,Sugar|Liquid with Meals|White Bread|Honey,400,600,0,30,45
Post-Viral Fatigue,Nuts|Seeds|Lean Meats|Eggs|Whole Grains,Sugar|Caffeine|Processed Meat|Alcohol,700,800,15,90,50
Hypovolemic Shock (Recovery),Salty Broth|Juice|Salted Crackers|Chicken,Potassium-heavy foods (Initially),900,3000,30,130,75
Cystinuria,Vegetables|Fruits|Low-protein Grains|Citrus,Meat|Fish|Eggs|Salt,700,1000,25,130,65
Phenylketonuria (PKU),Fruits|Vegetables|Low-protein Flour|Special Formula,Meat|Dairy|Eggs|Nuts|Aspartame,600,800,20,130,70
